# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
0	0	0	1	0	0	0.400001	-7.842518e-16	-5.415787e-16	5.4018234e-16	-0	-7.6056634e-16	0	600	0
1.0022409208591561e-11	-0.00063995866	-0.0010495946	0.69153655	0	0	0.400001	6.827963e-15	-3.0593266e-16	3.3652158e-16	7.322125e-15	-5.2596e-16	-7.218315	600	2.4418068e-05
2.0035319791362414e-11	0.0004945743	0.0004138362	0.57570505	0	0	0.400001	8.233838e-15	-2.5951327e-16	2.8329197e-16	8.6458576e-15	-4.3786233e-16	-19.999716	600	2.554506e-05
3.00262449862805e-11	-0.0003105065	0.001712057	0.4984773	0	0	0.400001	8.899749e-15	-2.3682917e-16	2.5483166e-16	9.256224e-15	-3.7912544e-16	-17.789705	600	3.6563786e-05
4.0014304462681656e-11	-0.0017947329	0.00073663215	0.4412713	0	0	0.400001	9.293417e-15	-2.2354624e-16	2.3695715e-16	9.610343e-15	-3.3561648e-16	-39.43734	600	5.4766362e-05
5.003041898858174e-11	-0.0013390156	0.00016842151	0.39773908	0	0	0.400001	9.52932e-15	-2.1527397e-16	2.2534425e-16	9.831738e-15	-3.0250726e-16	-27.54376	600	3.2820397e-05
6.003001620241467e-11	-0.0010826795	-0.0018565464	0.36370975	0	0	0.400001	9.7163226e-15	-2.0968708e-16	2.177328e-16	9.986544e-15	-2.766257e-16	-38.233387	600	2.9155066e-05
7.003357863324419e-11	-0.001604015	-0.0025503011	0.33692035	0	0	0.400001	9.8621274e-15	-2.053958e-16	2.1182401e-16	1.0097944e-14	-2.5625057e-16	-36.654675	600	2.7530197e-05
8.003455612180158e-11	0.00010149789	-0.0020165716	0.3140535	0	0	0.400001	9.993751e-15	-2.02687e-16	2.0719354e-16	1.0210468e-14	-2.388588e-16	-34.681362	600	2.5369594e-05
9.00234015997766e-11	0.0013676947	0.0008496396	0.2971686	0	0	0.400001	1.0055105e-14	-2.0062084e-16	2.0401886e-16	1.0279057e-14	-2.2601666e-16	-24.116882	600	2.6885074e-05
1.0001025420447747e-10	0.0015313242	0.003278381	0.2834079	0	0	0.400001	1.01214694e-14	-1.9855849e-16	2.0163803e-16	1.033801e-14	-2.1555073e-16	-28.697916	600	2.57792e-05
1.1001844928557846e-10	-0.00050945434	0.004730699	0.2720898	0	0	0.400001	1.0171024e-14	-1.9729788e-16	1.9951734e-16	1.0368344e-14	-2.0694256e-16	-14.801691	600	2.7793383e-05
1.200711766656874e-10	-0.0034219997	0.004588384	0.26302028	0	0	0.400001	1.0183433e-14	-1.966197e-16	1.9841874e-16	1.0382372e-14	-2.0004459e-16	-24.569565	600	3.052347e-05
1.3000121979805298e-10	-0.0033716727	0.0015363642	0.2562629	0	0	0.400001	1.0195645e-14	-1.9596449e-16	1.9713998e-16	1.0392139e-14	-1.9490517e-16	-26.174944	600	3.4674576e-05
1.4006087439238013e-10	-0.0052537015	0.00040194864	0.25016463	0	0	0.400001	1.0231409e-14	-1.9525471e-16	1.9641122e-16	1.0427741e-14	-1.90267e-16	-15.707374	600	3.4159322e-05
1.5000357803408127e-10	-0.0034183697	-0.0030977344	0.2464551	0	0	0.400001	1.0249504e-14	-1.949361e-16	1.9566294e-16	1.0429942e-14	-1.8744564e-16	-28.49771	600	3.1797197e-05
1.6005650201348751e-10	-0.00053000957	-0.0048237983	0.24294609	0	0	0.400001	1.0239795e-14	-1.9489639e-16	1.9561057e-16	1.04504714e-14	-1.8477682e-16	-33.60398	600	5.4227792e-05
1.700157468395606e-10	0.001219846	-0.0026309895	0.23954542	0	0	0.400001	1.02833374e-14	-1.9443812e-16	1.9494925e-16	1.0463154e-14	-1.8219038e-16	-28.93866	600	2.8285784e-05
1.8004966174970356e-10	0.0017053253	0.00010879431	0.23800528	0	0	0.400001	1.0286092e-14	-1.9440783e-16	1.945797e-16	1.04590315e-14	-1.81019e-16	-13.226716	600	3.3663346e-05
1.9004310125579953e-10	0.0015036288	0.0018150855	0.2359082	0	0	0.400001	1.0273951e-14	-1.9389402e-16	1.9436091e-16	1.0465853e-14	-1.7942404e-16	-29.933945	600	4.214208e-05
2.0003751038272286e-10	-5.0913135e-05	0.0020564895	0.23455188	0	0	0.400001	1.0306579e-14	-1.9371673e-16	1.9392667e-16	1.0481744e-14	-1.7839243e-16	-33.62082	600	4.2615164e-05
2.1006377681665025e-10	-0.000384147	0.0026784523	0.23385723	0	0	0.400001	1.0287997e-14	-1.9387033e-16	1.9410567e-16	1.047628e-14	-1.7786413e-16	-20.941015	600	4.2533262e-05
2.2004381661422266e-10	-0.0012438322	0.0019957228	0.23363891	0	0	0.400001	1.0302461e-14	-1.9353088e-16	1.9394318e-16	1.0488373e-14	-1.7769809e-16	-41.32039	600	2.4823186e-05
2.3000841804418553e-10	-0.0025700063	0.00034305133	0.23291579	0	0	0.400001	1.0288743e-14	-1.9375001e-16	1.9368022e-16	1.0480724e-14	-1.7714811e-16	-31.101849	600	3.077995e-05
2.4002567088172345e-10	-0.0019265979	-0.0009524827	0.2322048	0	0	0.400001	1.0296353e-14	-1.9371291e-16	1.9325505e-16	1.0479599e-14	-1.7660736e-16	-30.60305	600	3.1544634e-05
2.5007232943142524e-10	0.0005294294	-0.0014590597	0.23182806	0	0	0.400001	1.0298694e-14	-1.9364895e-16	1.9354463e-16	1.0487203e-14	-1.7632081e-16	-33.00436	600	4.4328663e-05
2.600794023906058e-10	0.0007198014	0.00031814576	0.23200521	0	0	0.400001	1.0305575e-14	-1.9345736e-16	1.9326036e-16	1.04815245e-14	-1.7645554e-16	-24.986025	600	3.159115e-05
2.700335012778258e-10	-0.00058204733	0.0005583779	0.23244236	0	0	0.400001	1.0301902e-14	-1.9351405e-16	1.934627e-16	1.0481046e-14	-1.7678804e-16	-33.033478	600	3.5093162e-05
2.800728735303512e-10	-0.00066796853	-0.00046434064	0.23177214	0	0	0.400001	1.0293225e-14	-1.9323601e-16	1.9358311e-16	1.0476447e-14	-1.7627828e-16	-34.08421	600	3.4497407e-05
2.900599446578391e-10	-0.0007120789	-0.0004002076	0.23165783	0	0	0.400001	1.0297284e-14	-1.9351226e-16	1.9384947e-16	1.0482152e-14	-1.7619136e-16	-30.07196	600	3.5889316e-05
3.0007064790327657e-10	0.0006226445	-0.00046165742	0.23311387	0	0	0.400001	1.031493e-14	-1.9372313e-16	1.9392126e-16	1.0476873e-14	-1.7729877e-16	-33.885227	600	2.7504051e-05
3.100475599149893e-10	-4.920295e-05	0.00022732402	0.23220403	0	0	0.400001	1.0316551e-14	-1.937335e-16	1.9393725e-16	1.04774825e-14	-1.7660678e-16	-23.38902	600	4.698241e-05
3.2001823313490293e-10	-0.0016860646	-0.00051681756	0.23070176	0	0	0.400001	1.0299924e-14	-1.9357421e-16	1.9315619e-16	1.0476848e-14	-1.7546419e-16	-33.42246	600	2.846949e-05
3.3005128201539974e-10	-0.00060783	-0.0013099916	0.23078403	0	0	0.400001	1.0305075e-14	-1.9341895e-16	1.933391e-16	1.0477181e-14	-1.7552673e-16	-23.861538	600	3.4276192e-05
3.400343953527559e-10	-0.000912995	-0.0008900609	0.23027222	0	0	0.400001	1.03007135e-14	-1.929216e-16	1.9296365e-16	1.0477591e-14	-1.7513752e-16	-34.257183	600	2.431279e-05
3.5001679642061455e-10	0.00015016508	-0.0015894601	0.22980022	0	0	0.400001	1.0290421e-14	-1.9326289e-16	1.9326966e-16	1.0475129e-14	-1.747785e-16	-37.752693	600	4.3119693e-05
3.6006721344964053e-10	0.00039961422	-0.00064372626	0.22866137	0	0	0.400001	1.03274196e-14	-1.9302958e-16	1.9310985e-16	1.0502164e-14	-1.7391233e-16	-46.43544	600	2.4882698e-05
3.7000333666772514e-10	0.00057757227	-0.00018607416	0.2284579	0	0	0.400001	1.0332872e-14	-1.9321467e-16	1.9319362e-16	1.0504378e-14	-1.7375756e-16	-19.517767	600	4.0038787e-05
3.800122250998261e-10	-0.00029061973	0.00097575143	0.22772154	0	0	0.400001	1.0319786e-14	-1.9316874e-16	1.9320173e-16	1.0504451e-14	-1.7319753e-16	-33.11241	600	3.554858e-05
3.900617131696954e-10	-0.001913162	0.0012167606	0.22650942	0	0	0.400001	1.0343304e-14	-1.9338008e-16	1.9265248e-16	1.05016305e-14	-1.7227564e-16	-35.02549	600	3.0480101e-05
4.0003638435912116e-10	-0.0017858413	-0.00014729022	0.22673102	0	0	0.400001	1.0318252e-14	-1.9342217e-16	1.9310214e-16	1.0495268e-14	-1.7244417e-16	-29.5989	600	2.4466233e-05
4.100075259633497e-10	-0.0021638572	-0.001981354	0.22812107	0	0	0.400001	1.0323617e-14	-1.9348967e-16	1.9302221e-16	1.0494793e-14	-1.735014e-16	-27.536987	600	4.3858097e-05
4.200406001692223e-10	-0.0008784122	-0.0015345266	0.22869068	0	0	0.400001	1.02983545e-14	-1.9345448e-16	1.9313541e-16	1.04827485e-14	-1.7393463e-16	-29.160385	600	3.1017622e-05
4.30044632044833e-10	0.00060687785	-0.0027442898	0.2287881	0	0	0.400001	1.0311077e-14	-1.9363636e-16	1.9332206e-16	1.0485242e-14	-1.7400869e-16	-24.86254	600	2.9354353e-05
4.40021319638865e-10	0.0010223421	-0.0018154306	0.22873819	0	0	0.400001	1.0319205e-14	-1.9334659e-16	1.9333531e-16	1.0488252e-14	-1.7397073e-16	-31.473269	600	4.1998144e-05
4.5001839971761576e-10	0.0020890662	-6.685416e-05	0.22730333	0	0	0.400001	1.03361745e-14	-1.9333342e-16	1.9299811e-16	1.0495503e-14	-1.7287945e-16	-39.4095	600	2.4199831e-05
4.6003314133905687e-10	0.0024903347	0.0009930609	0.22770397	0	0	0.400001	1.0332919e-14	-1.9307693e-16	1.9317762e-16	1.0488551e-14	-1.7318417e-16	-25.698214	600	3.3761233e-05
4.700522341455083e-10	0.0023539881	0.0013316484	0.22673112	0	0	0.400001	1.0321977e-14	-1.9292913e-16	1.9312873e-16	1.0494128e-14	-1.7244425e-16	-19.881739	600	3.906753e-05
4.800561754894293e-10	0.0016371817	0.0018630688	0.22675838	0	0	0.400001	1.0319813e-14	-1.929587e-16	1.9306516e-16	1.0496053e-14	-1.7246497e-16	-31.355228	600	2.8717743e-05
4.900534891767206e-10	-0.0008989109	0.002821666	0.22760051	0	0	0.400001	1.0313879e-14	-1.9298886e-16	1.9308831e-16	1.04875605e-14	-1.7310548e-16	-24.867996	600	2.7809398e-05
5.000695628115961e-10	-0.0012986877	0.0014103875	0.22775309	0	0	0.400001	1.03083884e-14	-1.9321216e-16	1.9294747e-16	1.0481506e-14	-1.7322153e-16	-46.36099	600	2.6871932e-05
5.100720848893832e-10	-0.002376713	0.00090408174	0.22889262	0	0	0.400001	1.0316711e-14	-1.9339501e-16	1.9309136e-16	1.0484574e-14	-1.7408822e-16	-19.24076	600	2.2740112e-05
5.200563225484564e-10	-0.00020705382	-0.00024196255	0.22826706	0	0	0.400001	1.0309358e-14	-1.9347965e-16	1.9327431e-16	1.0489252e-14	-1.7361244e-16	-21.203978	600	3.258734e-05
5.300238604770032e-10	0.00085629453	-0.00034906282	0.22873406	0	0	0.400001	1.0329748e-14	-1.9327087e-16	1.9312269e-16	1.0482219e-14	-1.7396762e-16	-22.783567	600	2.3753068e-05
