# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
0	0	0	1	0	0	0.25	-1.7632664e-16	-6.291456e-16	6.5476753e-16	-1.3653335e-18	-2.62144e-16	0	750	0
1.0018210658540631e-11	-0.00452468	-0.0010242856	0.89550114	0	0	0.25	2.9469047e-16	-5.1139307e-16	5.4853637e-16	5.01514e-16	-2.3475023e-16	-0.5927432	750	3.120228e-06
2.0022283314879398e-11	-0.0034348096	-0.0002987159	0.85895693	0	0	0.25	4.1117947e-16	-4.766797e-16	5.1420776e-16	5.9356967e-16	-2.2517042e-16	-3.7992692	750	4.6642895e-06
3.008785397343163e-11	-0.0016229938	-0.0022765715	0.84030735	0	0	0.25	4.2480005e-16	-4.6030004e-16	4.974416e-16	6.1774896e-16	-2.202815e-16	-2.4891725	750	4.5840975e-06
4.001962279936372e-11	-0.0015717151	-0.00079727726	0.82670575	0	0	0.25	4.5123886e-16	-4.49043e-16	4.8570426e-16	6.3057336e-16	-2.1671595e-16	-3.0389137	750	3.29967e-06
5.0135429330776175e-11	-0.0022054089	-0.0005295818	0.8157242	0	0	0.25	4.675446e-16	-4.3991675e-16	4.762179e-16	6.4452304e-16	-2.138372e-16	-3.3717844	750	2.6124508e-06
6.007629740932332e-11	-0.001990115	-0.00042468728	0.80944574	0	0	0.25	4.537526e-16	-4.352531e-16	4.70804e-16	6.4462394e-16	-2.1219135e-16	-4.8510823	750	3.1833304e-06
7.004701342540943e-11	-0.0029363877	0.00049913453	0.80423373	0	0	0.25	4.819001e-16	-4.312594e-16	4.665719e-16	6.5177735e-16	-2.1082503e-16	-4.689131	750	3.1384886e-06
8.001467931487255e-11	-0.002532223	7.312605e-05	0.79891443	0	0	0.25	4.798657e-16	-4.2679311e-16	4.6186123e-16	6.5433533e-16	-2.094306e-16	-4.081625	750	3.890174e-06
9.014490878926735e-11	-0.0014605273	-0.00023055566	0.79563814	0	0	0.25	4.9823494e-16	-4.2447632e-16	4.5921997e-16	6.58589e-16	-2.0857179e-16	-4.36711	750	4.147072e-06
1.0004674286483815e-10	-0.0010751565	-3.3172546e-06	0.79258704	0	0	0.25	4.915866e-16	-4.222174e-16	4.567781e-16	6.5932494e-16	-2.0777195e-16	-7.378698	750	3.571703e-06
1.1012663777126884e-10	-0.0008445969	0.00050118496	0.7889885	0	0	0.25	5.001975e-16	-4.191045e-16	4.535092e-16	6.633911e-16	-2.0682858e-16	-6.6552114	750	3.018603e-06
1.200256578863783e-10	-0.0029469796	-0.00018013013	0.7859731	0	0	0.25	4.934952e-16	-4.169067e-16	4.5126586e-16	6.650014e-16	-2.060381e-16	-4.3137403	750	3.7188595e-06
1.3007865836125833e-10	-0.0062215663	0.0022377186	0.7847988	0	0	0.25	4.9315603e-16	-4.166325e-16	4.503408e-16	6.586331e-16	-2.0573031e-16	-7.721332	750	2.512741e-06
1.400448767879545e-10	-0.008247662	5.8660982e-05	0.7828171	0	0	0.25	5.0313254e-16	-4.1473118e-16	4.4836175e-16	6.6577197e-16	-2.0521082e-16	-5.3359675	750	3.3686892e-06
1.500495457515692e-10	-0.007580268	0.00045038265	0.782851	0	0	0.25	4.8640285e-16	-4.145884e-16	4.481827e-16	6.5969716e-16	-2.052197e-16	-4.1084356	750	3.4498835e-06
1.6004799408205295e-10	-0.0066237953	-0.0023981659	0.7823708	0	0	0.25	4.864455e-16	-4.1432016e-16	4.478294e-16	6.6162024e-16	-2.0509381e-16	-5.048746	750	4.103714e-06
1.7006978426623055e-10	-0.0074944734	-0.0013995934	0.781171	0	0	0.25	4.833615e-16	-4.1335555e-16	4.469914e-16	6.6375963e-16	-2.047793e-16	-4.9864693	750	2.7709057e-06
1.8008108182609278e-10	-0.007185387	-0.0055962205	0.7822143	0	0	0.25	4.8785863e-16	-4.1368785e-16	4.4733605e-16	6.576215e-16	-2.0505275e-16	-5.917936	750	2.762043e-06
1.9007745389024773e-10	-0.0050818576	-0.009107876	0.779558	0	0	0.25	4.9307074e-16	-4.1272265e-16	4.460133e-16	6.587866e-16	-2.0435645e-16	-3.418902	750	3.8253283e-06
2.0008090823494789e-10	-0.0017454418	-0.011198256	0.7781695	0	0	0.25	4.9134454e-16	-4.1117012e-16	4.4464073e-16	6.612522e-16	-2.0399247e-16	-4.0544047	750	3.4934328e-06
2.100787420257446e-10	0.0013192728	-0.012717754	0.77769077	0	0	0.25	4.9013313e-16	-4.1106302e-16	4.4445576e-16	6.6008536e-16	-2.0386695e-16	-5.2468286	750	3.3645058e-06
2.2012547444974625e-10	0.0025098529	-0.01366512	0.77676797	0	0	0.25	4.855182e-16	-4.1026276e-16	4.4354102e-16	6.593881e-16	-2.0362504e-16	-6.45561	750	2.3129148e-06
2.3006745653183833e-10	0.0043876786	-0.014624313	0.7761062	0	0	0.25	4.9143687e-16	-4.0983856e-16	4.431539e-16	6.614971e-16	-2.0345158e-16	-4.31156	750	4.0371433e-06
2.4008222655034683e-10	0.0071956227	-0.009594161	0.77435994	0	0	0.25	4.930675e-16	-4.081261e-16	4.41208e-16	6.644714e-16	-2.0299381e-16	-4.9205117	750	2.6407765e-06
2.5004735794458553e-10	0.0073169256	-0.008509403	0.77356046	0	0	0.25	5.000548e-16	-4.0775507e-16	4.407914e-16	6.6330165e-16	-2.0278424e-16	-6.4744854	750	5.3902936e-06
2.600224421023645e-10	0.008241225	-0.005929437	0.7727238	0	0	0.25	4.884048e-16	-4.0733166e-16	4.40181e-16	6.640437e-16	-2.0256491e-16	-5.243661	750	3.4753816e-06
2.700699013726287e-10	0.010344364	-0.0025209924	0.77182806	0	0	0.25	4.9286894e-16	-4.0708928e-16	4.4009103e-16	6.632711e-16	-2.0233011e-16	-4.654588	750	2.7249378e-06
2.8006435455558235e-10	0.007878161	0.00071282825	0.7710016	0	0	0.25	5.0832634e-16	-4.0662545e-16	4.3936655e-16	6.623392e-16	-2.0211346e-16	-8.40912	750	7.607104e-06
2.9002978926111247e-10	0.010883224	-0.0016834307	0.77170765	0	0	0.25	4.9651716e-16	-4.0685856e-16	4.3974872e-16	6.6260873e-16	-2.0229851e-16	-5.5753684	750	2.6118735e-06
3.000764109947241e-10	0.008064988	-4.7526963e-05	0.7711085	0	0	0.25	4.8160303e-16	-4.063489e-16	4.3921305e-16	6.629767e-16	-2.0214145e-16	-7.7242746	750	3.1747759e-06
3.100406735532748e-10	0.0075067645	0.000753541	0.77173835	0	0	0.25	5.024795e-16	-4.070785e-16	4.4003105e-16	6.660883e-16	-2.0230658e-16	-6.98105	750	2.8072375e-06
